,ID paticle,x (kpc),y (kpc),z (kpc),vx (km/s),vy (km/s),vz (km/s),mass (M_sun),abun_HI,Z,fractional electron number density,gas density (M_sun/kpc**3),internal energy (km/s)**2,sfr (M_sun/yr),abund_He (M_sun),abund_C (M_sun),abund_Mg (M_sun),abund_O (M_sun),abund_Fe (M_sun),abund_Si (M_sun),abund_H (M_sun),abund_N (M_sun),abund_Ne (M_sun),abund_S (M_sun),abund_Ca (M_sun),abund_Zi (M_sun),smoothing_length
0,27615434,-1.3282716,2.799561,1.283929,-7.05576,6.8943706,-17.482409,37356.19,0.08156749,0.0016342998,0.990518,172533.38,192.5474,0.0,9033.948,5.5947547,1.1528927,37.3883,5.161354,4.8202734,28261.188,0.14612971,3.9065073,2.5173864,0.3406993,0.022913821,1.1610999
1,27799497,-1.3368638,2.8606339,0.8964472,-32.42238,6.123649,-28.408634,41811.297,0.14032854,0.014280295,0.9382898,335341.62,182.58536,0.0,10718.929,55.41425,11.308784,370.89362,46.090538,46.492477,30495.291,1.1936291,37.9538,24.238268,3.274237,0.21804945,0.90486306
2,28171482,-1.9882635,2.94095,0.76398516,-19.279966,-8.12414,-17.87575,36953.07,0.114735544,0.00022429482,0.95047826,264150.53,191.08238,0.0,8881.86,0.89808,0.15042369,4.4483776,1.2191087,0.68629074,28062.918,0.00422312,0.4709949,0.3563888,0.050920464,0.0035744538,0.97275054
3,2175315566,-1.7864578,2.8385751,0.81248534,-32.67386,5.931911,-26.506102,19304.07,0.120455414,0.0055693276,0.94987553,278894.03,188.68015,0.0,4750.011,9.865532,1.9063466,59.47429,15.447675,9.350461,14446.546,0.081177324,5.728623,4.9391313,0.6885026,0.028944686,0.93955433
4,27532353,-1.9969747,3.2337656,0.5383372,-33.84141,8.428567,-28.003145,36908.414,0.079331994,0.00023329716,0.99117196,168058.47,194.36107,0.0,8863.887,0.66396624,0.13046779,3.976947,2.0967767,0.85525453,28035.916,0.007337683,0.35772002,0.4572878,0.06295074,0.0019201669,1.1570446
5,28004540,-1.9431853,2.722912,1.4309505,-24.63551,10.30016,-12.783309,38837.906,0.054069236,0.0056882096,1.0276779,106370.66,192.75739,0.0,9598.025,21.465414,4.2930994,136.49666,16.504787,17.401447,29018.96,0.3469479,13.966951,9.10598,1.2656946,0.07114599,1.32964
6,27649448,-1.4894197,3.39162,1.6289096,-21.7145,15.977303,-24.122942,37461.754,0.042861644,0.0019562088,1.0358554,84266.96,200.48837,0.0,9072.928,6.827121,1.336741,42.882168,8.3329935,6.1126366,28315.541,0.04142094,4.0671277,3.2178485,0.44567913,0.019278565,1.493776
7,28046648,-2.5696335,2.7956872,-1.5662512,-27.999275,-14.219515,-21.120407,36858.12,0.17929666,5.182563e-07,0.8776368,481773.28,183.99818,0.0,8845.946,0.00091257086,0.00016278711,0.0030890866,0.010517654,0.0026576084,28012.156,3.9618016e-07,9.9182806e-05,0.0014575482,0.00020479434,3.2396466e-07,0.8361558
8,28156866,-2.1477437,3.151501,-1.1095855,-36.735397,-15.458615,-19.627047,36858.094,0.1515924,0.0,0.90776557,383361.8,188.64948,0.0,8845.942,0.0,0.0,0.0,0.0,0.0,28012.15,0.0,0.0,0.0,0.0,0.0,0.90071255
9,28182897,-2.7289639,2.8811126,-0.82238954,-26.39798,-15.291399,-15.945574,36858.105,0.11211181,2.7001724e-07,0.95321167,256513.22,191.27621,0.0,8845.942,0.0004461968,7.852324e-05,0.001321038,0.005773768,0.0014226564,28012.15,1.0716113e-08,1.8660818e-05,0.00078153715,0.00010993254,0.0,1.037066
