,ID paticle,x (kpc),y (kpc),z (kpc),vx (km/s),vy (km/s),vz (km/s),mass (M_sun),abun_HI,Z,fractional electron number density,gas density (M_sun/kpc**3),internal energy (km/s)**2,sfr (M_sun/yr),abund_He (M_sun),abund_C (M_sun),abund_Mg (M_sun),abund_O (M_sun),abund_Fe (M_sun),abund_Si (M_sun),abund_H (M_sun),abund_N (M_sun),abund_Ne (M_sun),abund_S (M_sun),abund_Ca (M_sun),abund_Zi (M_sun),smoothing_length
0,3294877,1.2669446,0.19106627,-0.33430922,19.380123,55.212063,16.071371,357597.12,0.5539173,0.019668836,0.4637851,5766394.5,155.6978,0.0,94488.81,671.86115,133.02774,4287.4487,595.5543,546.4911,256074.77,18.068724,456.16953,283.43073,38.380516,3.0871263,0.74871594
1,2150232019,0.9730008,-0.5335499,-0.15282203,44.011295,57.54933,1.6935697,175287.9,0.6554093,0.021114293,0.37221304,10242872.0,125.53973,0.0,45822.38,324.3299,67.63249,2181.48,402.52356,301.94275,125764.44,13.303593,229.29749,157.89842,21.280224,1.3917912,0.55345994
2,3494895,1.1110986,-0.19672807,0.04891497,28.98042,47.75923,12.604181,327438.66,0.55098766,0.012111018,0.47470015,5226008.0,141.03749,0.0,83155.31,366.0558,76.811,2491.2458,264.3493,301.7333,240317.73,19.621601,266.67157,156.4795,21.212124,1.4352182,0.75755894
3,3398077,0.9269669,0.08419295,-0.21631211,22.350962,51.221878,15.036619,345084.22,0.65984064,0.01738553,0.35882795,11135813.0,133.35889,0.0,89870.85,561.68915,116.55711,3841.3022,339.28583,449.91995,249213.92,22.433874,401.59677,233.05327,31.391144,2.2425451,0.5921585
4,3250079,0.6743784,-0.1379829,-0.3135571,26.445545,55.41129,8.875076,307392.06,0.71487916,0.0048541673,0.29352045,17319522.0,128.91632,0.0,75520.125,139.7272,28.855658,954.841,85.917656,112.47043,230379.75,4.0537324,99.53475,58.31652,7.8104362,0.6052143,0.4869311
5,3348435,0.77078265,-0.24657279,-0.13259447,30.74733,57.79379,11.17227,345187.56,0.71964777,0.018162813,0.29800534,17516032.0,124.100685,0.0,89678.016,573.2753,115.49465,3726.8274,647.9713,512.82666,249240.0,11.471175,374.0196,268.85345,36.70692,2.1306293,0.49920523
6,2150986857,0.660687,-0.26437795,-0.11160994,26.020473,52.224808,-3.5965376,179939.55,0.73509306,0.020775624,0.28226838,20207354.0,123.90775,0.0,47733.746,357.58044,72.51709,2397.9614,207.97275,281.03784,128467.42,8.215387,246.2649,145.7004,19.63937,1.4667073,0.46878162
7,2948009,0.8012081,-0.1925296,0.10488255,18.458584,51.990223,-0.40089512,312319.5,0.63291514,0.007332862,0.37752455,9403530.0,140.52141,0.0,77302.83,202.55734,41.71811,1346.3756,253.336,188.29509,232726.47,6.228913,138.86014,98.64486,13.337863,0.8419395,0.61080176
8,3646216,0.8171526,0.20264904,0.046834048,12.305779,29.5378,15.109726,329935.1,0.689243,0.013265807,0.3260179,13872887.0,129.63365,0.0,84188.87,398.18408,86.45055,2802.2695,233.76189,322.19543,241369.36,33.461502,310.4486,166.1131,22.45364,1.5165997,0.52453697
9,2151332394,0.56484556,0.11909923,0.17630571,8.717837,34.783363,20.953339,179847.28,0.68690276,0.024000483,0.33773133,13213901.0,124.9803,0.0,47727.23,375.6851,84.07881,2696.2766,295.185,324.73483,127803.625,37.2839,311.35342,167.68425,22.45849,1.6813062,0.5112415
10,3096621,0.4018997,0.0539516,-0.015450256,22.849838,44.777126,-4.6182756,344720.78,0.75300276,0.02018536,0.25631133,33425848.0,154.59505,0.0,89422.93,593.2025,125.380516,3846.3877,979.4506,597.64343,248339.55,41.446075,414.81763,314.49384,43.522343,1.9678268,0.41722545
