,ID paticle,x (kpc),y (kpc),z (kpc),vx (km/s),vy (km/s),vz (km/s),mass (M_sun),Z,age (yr),flag,abund_He (M_sun),abund_C (M_sun),abund_Mg (M_sun),abund_O (M_sun),abund_Fe (M_sun),abund_Si (M_sun),abund_H (M_sun),abund_N (M_sun),abund_Ne (M_sun),abund_S (M_sun),abund_Ca (M_sun),abund_Zi (M_sun),distance_star_gas(kpc),CIELOidx_closest_gas_particle
0,27978997,-1.4342006,2.91197,0.6258038,-20.967518,13.685378,-45.700138,17273.805,0.0069100396,6470148086.547852,0.0,4312.1406,12.345046,2.3875725,74.180145,7.93819,9.468313,12842.303,0.04030006,7.2839584,4.9760203,0.71503216,0.028091233,0.1778524050211919,2175245440
1,27978960,-1.959229,3.0083852,0.93936336,-0.07980058,-4.4893007,-0.019502603,16103.606,6.918408e-05,9492193222.045898,0.0,3865.226,0.07174021,0.013496881,0.34819102,0.43788812,0.13221882,12237.267,0.0007639781,0.027911538,0.07171274,0.010034667,0.00015516943,0.1901263554992646,28171482
2,28071884,-1.8609524,2.9453847,0.7318934,4.0741067,2.800132,-3.052706,16155.243,0.0003133377,9537485122.680664,0.0,3885.2524,0.56039524,0.106039345,2.9853106,0.41282982,0.4283345,12264.928,0.0005185621,0.3052161,0.22795485,0.034716364,0.00073121605,0.13136843643015217,28171482
3,27761786,-1.9491391,3.3215377,1.1396352,3.7619421,6.8449006,17.134838,16116.331,8.901396e-05,9779880523.68164,0.0,3870.4407,0.16810367,0.031801865,0.9039193,0.052735925,0.113945976,12244.455,0.000118075994,0.09407035,0.06033154,0.009327998,0.00022383653,0.5361816491843546,28171482
4,27799537,-2.171312,3.334678,-0.84541166,-5.4462557,-9.90679,-23.115969,16082.044,0.0,7450703620.910645,0.0,3859.6904,0.0,0.0,0.0,0.0,0.0,12222.353,0.0,0.0,0.0,0.0,0.0,0.3223307485467703,28156866
5,27920778,-2.7237577,2.7562418,-1.0686178,8.050728,-9.228068,4.2877774,18586.977,0.0008320763,8431777954.1015625,0.0,4483.578,1.6375624,0.31859243,9.95674,0.6564034,1.1800003,14087.93,0.0088612875,0.99730086,0.6175167,0.08882173,0.0039836,0.276130728593223,28182897
6,27797632,-2.621502,2.8856113,-0.14630511,19.986843,-36.607044,-0.6356209,16151.323,0.000331515,7416359901.428223,0.0,3883.6384,0.5468469,0.10471213,3.380326,0.33666417,0.41123593,12262.33,0.0015257954,0.32713416,0.21440823,0.030007765,0.0015442725,0.2138115089998694,27651580
7,28070958,-2.2742014,3.1082256,0.09542299,-25.816849,33.141956,15.693592,16191.808,0.00063489436,9065653800.964355,0.0,3899.076,1.0130386,0.19963284,6.7766685,0.44263276,0.7564609,12282.451,0.003647667,0.6397403,0.39207855,0.05303926,0.0031481942,0.40943013392259053,27651580
8,2175612239,-2.3783238,2.909668,-0.6584197,-2.9361453,5.315394,-8.112913,16477.203,0.002845404,11791900634.765625,0.0,4005.732,4.260603,0.87292,28.324175,4.41305,3.7634459,12424.587,0.09692384,2.8997242,1.9698055,0.2671167,0.016531207,0.3881365240184732,28182897
9,28091523,-2.2930975,3.0900345,-0.4608565,5.0243835,-39.236683,4.059765,16439.514,0.0026425226,9036289215.08789,0.0,3990.6482,3.9225883,0.76899403,25.08729,5.4558663,3.663437,12405.423,0.018938193,2.3203104,1.9288473,0.26407662,0.01144028,0.2915590103760811,27651580
10,27952189,-1.0175257,3.8359828,-0.44587758,20.967672,-31.312595,1.1276977,16522.588,0.002438571,7353673934.936523,0.0,4025.961,4.319353,0.83834887,25.606724,1.8838146,3.1284773,12456.333,0.024684552,2.5978367,1.6428738,0.23974395,0.0096476395,0.30903847705102283,28001577
11,28092827,-1.0809199,3.8780627,-0.39152932,1.5528753,-3.489537,-8.378284,16107.52,5.4545213e-05,12003694534.301758,0.0,3866.9978,0.08965855,0.01743623,0.5598405,0.04908275,0.06769211,12239.645,0.0002390439,0.054019433,0.035402764,0.0049910215,0.0002257462,0.3681834795848835,27397331
12,27976600,-1.4003152,3.3443615,-0.24697855,-21.243917,53.203857,9.72417,16194.575,0.000814882,9184799194.335938,0.0,3898.8994,1.137562,0.21864544,6.963121,2.3303704,1.1937151,12282.479,0.00351962,0.62712395,0.6324255,0.08697332,0.0032119402,0.37820079670059137,27397331
13,28171712,-1.2342832,3.553558,-0.13948025,-5.546902,-33.93658,15.655971,16314.337,0.0017118515,9065653800.964355,0.0,3943.0354,2.4845202,0.46755287,13.304637,6.0103493,2.7404222,12343.373,0.0037618757,1.2317293,1.4689803,0.21135798,0.004411367,0.109514413412567,27397331
14,28110422,-1.3358997,3.7285974,0.14439805,-24.74994,8.804228,15.854395,16585.03,0.0025791125,11824289321.899414,0.0,4050.653,4.8261647,0.9206911,27.077156,1.7690123,3.3661683,12491.601,0.005850593,2.7574725,1.776344,0.26795012,0.007843021,0.30398561905889726,27397331
15,27691501,-1.2299464,3.5779712,0.51347965,-25.177397,-15.056111,2.1877413,16189.573,0.00068138615,7411555290.222168,0.0,3897.8113,1.0120134,0.20520641,6.6740437,1.0300728,0.88041395,12280.73,0.021567846,0.68159205,0.46012533,0.062344465,0.003970894,0.33815571350817275,27798772
16,27573725,-1.3104542,3.3056762,0.20448862,-2.756425,-25.342953,-1.9630076,16100.75,1.1909636e-05,6488906383.514404,0.0,3864.408,0.01810473,0.0037052843,0.12314381,0.010881165,0.014431426,12236.15,0.00036801427,0.012546626,0.0074946852,0.0010073307,7.098297e-05,0.20629294185459426,27798772
17,28209265,-1.9079564,3.5459976,0.31984368,-8.871594,26.298908,1.7839794,16153.318,0.00038052123,7404344081.878662,0.0,3884.3792,0.59297323,0.1198455,4.0502586,0.2580609,0.4500221,12262.791,0.008251678,0.40097862,0.23290506,0.031199358,0.002185692,0.3913470381603466,27532353
18,28110997,-1.5915787,2.9570596,-0.45208472,2.1180868,-11.902492,-4.2277403,16107.311,0.0001586577,11282319068.908691,0.0,3866.1963,0.15230888,0.028108245,0.68228835,1.1280077,0.3203763,12238.557,0.00020094648,0.04496725,0.17458567,0.024523389,0.00018220115,0.2643871118036501,27653165
19,27924412,-1.9246421,2.974754,-0.10297221,6.945252,-10.879313,3.3916225,16148.238,0.00027782074,10898321151.733398,0.0,3882.6238,0.49400187,0.09468101,2.846872,0.20004433,0.35087505,12261.128,0.0007706521,0.28602767,0.18472607,0.027408436,0.0009084493,0.2994592580107656,28025281
20,28202735,-1.2535366,2.9612365,-0.23115185,1.0754405,-16.197845,-5.7053943,16232.717,0.0006553814,7602191925.048828,0.0,3915.4211,1.2805212,0.24052379,6.563189,0.45212498,0.86873364,12306.656,0.00021774524,0.69645816,0.46246287,0.07313833,0.0012533705,0.2339840921832146,27653165
21,27725059,-1.1114169,3.1751785,-0.17459244,17.749643,-45.11326,-24.078035,16114.639,8.8534296e-05,9772106170.654297,0.0,3869.754,0.15479356,0.03008734,0.9102917,0.057522144,0.10795692,12243.458,0.0023935135,0.09865725,0.056339737,0.008186976,0.00046919944,0.325369740085533,28215300
22,27798767,-1.0883119,2.7758179,-0.5964809,4.668887,-30.443031,-2.8071852,16447.643,0.0027562473,9122781753.54004,0.0,3993.29,4.0392513,0.7956746,25.556196,6.2511168,3.9033735,12409.019,0.031900514,2.4009855,2.0601208,0.28315353,0.011995719,0.18108316074934702,27977281
23,27924539,-1.3874545,3.163872,-0.91176707,7.0847173,-40.14985,12.216045,16513.527,0.0026871366,8137809753.417969,0.0,4020.9211,4.4151177,0.8679015,26.79725,3.7633076,3.6103606,12448.232,0.04303527,2.6937509,1.9010653,0.27078798,0.011530625,0.2359647134723779,28168926
24,27829222,-1.1097757,3.4981647,-0.8090799,1.7553302,20.045418,0.5650069,16200.701,0.00020053468,9790548324.58496,0.0,3903.0146,0.6765552,0.073195055,1.732355,0.24092796,0.15466073,12294.437,0.00023789334,0.2906454,0.06375298,0.011837111,0.0046352963,0.2952514305700694,28001577
25,27568227,-1.3266147,3.3479953,-1.4171345,13.189348,-41.275684,17.22701,16082.044,0.0,7460259437.561035,0.0,3859.6904,0.0,0.0,0.0,0.0,0.0,12222.353,0.0,0.0,0.0,0.0,0.0,0.24984735580917286,2175176997
26,28183589,-1.4969969,3.081919,-1.3918934,11.46066,-13.564057,-4.2002444,16152.1455,0.00038886495,11794800758.361816,0.0,3883.8901,0.5838588,0.12324247,4.106171,0.27614662,0.46005934,12261.972,0.019167753,0.4403044,0.23784834,0.031472016,0.0027327547,0.23654588502331517,27921140
27,27652849,-1.5928249,2.8978076,-1.3619628,-1.0299098,15.334199,-8.312708,16082.044,0.0,7411555290.222168,0.0,3859.6904,0.0,0.0,0.0,0.0,0.0,12222.353,0.0,0.0,0.0,0.0,0.0,0.22973930959848093,27889223
28,28128487,-0.17921013,3.2753003,-1.2729689,-14.334038,48.426674,-35.96983,18434.879,1.0811062e-05,12941459655.761719,0.0,4425.221,0.039469477,0.004307958,0.101286985,0.021079063,0.010674732,14009.457,1.3695579e-05,0.016739497,0.0046443013,0.00081831217,0.000266594,0.14951292631598914,27864525
29,27693331,-0.19249877,2.861211,-0.5627186,-10.975879,6.3990927,-17.239393,16099.237,7.2118337e-06,7459464550.018311,0.0,3863.7888,0.005205386,0.00091606175,0.015411391,0.06735748,0.016596884,12235.331,1.2501549e-07,0.00021769937,0.009117508,0.0012824865,0.0,0.30693278594840523,27763649
30,28091100,-0.24832222,2.884589,-0.5588987,3.3077393,41.398067,-7.60273,16177.382,0.00038450095,9009039878.845215,0.0,3894.0107,0.7487073,0.14071059,3.836789,0.26419532,0.5083734,12277.151,0.00010716376,0.40709433,0.2706928,0.04282935,0.00071888976,0.34969127865873373,27614386
31,28071352,-0.3367935,2.9156642,-0.54802233,-12.707311,-13.881544,-1.0220875,16191.905,0.0006982915,9325926780.700684,0.0,3898.2024,1.0387516,0.19480222,5.71301,2.1134741,1.0600458,12282.396,0.0018934545,0.5364217,0.56519014,0.08087246,0.0022084457,0.327240361424984,27614386
32,28143966,-0.28974086,2.9416475,-0.7024878,1.1254056,-46.956474,12.411169,16276.114,0.0012036288,10916862487.792969,0.0,3930.4297,1.9139423,0.3645317,10.741063,2.7182896,1.7401277,12326.094,0.0057904073,1.0435958,0.925212,0.13405478,0.0037924673,0.35206149287478117,27614386
33,28090942,-0.8578511,3.3860939,-0.8835627,-0.5448822,19.507898,1.4755812,16192.459,0.00059950375,9007901191.711426,0.0,3899.4336,0.9922059,0.19364177,6.3136926,0.4309061,0.7299255,12283.318,0.0028645257,0.60799557,0.38040206,0.053163193,0.0026417463,0.2083535430732406,27572735
34,28193146,-0.80190855,3.4629595,-1.043752,-30.300535,33.941715,-16.309143,16107.396,0.00019705523,7433950424.194336,0.0,3865.9453,0.17599016,0.03177566,0.6653137,1.5777407,0.42243496,12238.276,6.340464e-05,0.03664016,0.23124859,0.032753207,8.609803e-05,0.22272483017699318,2175702895
35,28110889,-0.035678837,3.914406,0.24869636,-5.4720583,8.6613865,-8.473814,16215.997,0.0007881206,7597502708.435059,0.0,3908.2634,1.2683214,0.24813734,8.220353,0.7110668,0.9691714,12294.952,0.0040707337,0.7811616,0.5047629,0.06947183,0.003645653,0.23306934845066082,28002247
36,28171640,-1.0080314,3.936942,0.54099846,0.14383578,-3.0199716,-9.0618305,16584.523,0.0034071074,9534410476.68457,0.0,4046.8557,5.3894706,1.0530748,34.43106,5.1183343,4.535862,12481.162,0.019643147,3.2374268,2.377449,0.32773393,0.015198203,0.3976900948445502,28070081
37,27832236,-0.8980588,2.8614063,-0.33722943,-40.32056,49.543476,-14.071633,16082.044,0.0,7616238594.055176,0.0,3859.6904,0.0,0.0,0.0,0.0,0.0,12222.353,0.0,0.0,0.0,0.0,0.0,0.26346201973438976,2175461798
38,28159377,-0.8201054,3.0591648,-0.48420784,2.4644108,16.447659,-9.753306,16119.449,8.7951536e-05,11998478889.465332,0.0,3871.642,0.18219803,0.031582057,0.8423123,0.08521448,0.112954594,12246.391,2.4882322e-05,0.094281204,0.059355717,0.009445108,0.00036194923,0.14678365600850407,2175461798
39,27894096,-0.42040518,3.137862,0.19370462,-39.107574,63.68883,7.6379147,16319.836,0.0017305537,7381060123.4436035,0.0,3946.423,2.546464,0.50813466,16.571064,3.245992,2.3405879,12345.17,0.030041104,1.5944926,1.229633,0.16750865,0.008433791,0.2287741627662989,28049018
40,27895746,0.07526652,3.3377142,0.39421624,-18.848408,-27.987709,-5.471924,16232.153,0.0015099664,7561462402.34375,0.0,3909.509,1.8057615,0.33294037,8.385239,8.688112,2.834692,12298.136,0.0033838823,0.6986328,1.5384927,0.22048505,0.0022658326,0.2118758964372837,27977079
41,27922321,0.3847373,3.131313,0.59157085,7.687415,-75.17076,-9.245771,16099.22,2.3776267e-06,9006762504.577637,0.0,3863.8142,0.0021115402,0.00037902544,0.007597175,0.019407194,0.0051537845,12235.366,9.221385e-08,0.00040307923,0.0028241398,0.00040132264,5.8304795e-07,0.2462488021793833,2175170197
42,27891606,0.83628154,3.7910302,0.14899564,-18.96062,36.634247,17.807734,16182.037,0.0012580376,7437941551.208496,0.0,3890.2773,1.3254846,0.24503748,6.0237727,8.297887,2.4796848,12271.401,0.0013799117,0.44179332,1.3498414,0.19126964,0.0014628051,0.1662796014842276,27760162
43,28051633,0.76531655,3.26986,0.24429329,-6.9358015,10.40068,-0.05064699,16162.627,0.00012689165,12756047248.840332,0.0,3888.3474,0.4252062,0.046037283,1.0889701,0.15794243,0.09873637,12272.229,0.00014934308,0.18246588,0.040926926,0.0075581013,0.0029096724,0.3875270254579534,2175313458
44,27726627,1.0958121,3.0631418,0.22356074,-17.238117,7.6155877,-7.553922,16547.564,0.0024977506,11036532402.038574,0.0,4035.8801,4.5293274,0.8687964,26.553497,1.6178592,3.175927,12470.352,0.008445841,2.6571352,1.6665787,0.2449031,0.009217699,0.22436294768355897,27889652
45,2174922749,1.083095,3.2041092,0.44126478,-14.282898,7.0341253,-1.9414065,16275.495,0.00125193,9610159873.962402,0.0,3930.4268,1.9521866,0.38273793,12.276463,1.922045,1.6563678,12324.692,0.011721976,1.1775889,0.8701737,0.12109217,0.0054007415,0.3707646059437891,27891794
46,27949202,0.9798152,3.8771248,0.377505,2.7043536,41.71455,4.336902,16612.63,0.0030975987,7401136398.31543,0.0,4060.1301,5.366951,1.0414586,33.37255,2.1963723,3.8860426,12501.04,0.014792923,3.2519953,2.0282557,0.28734195,0.013501211,0.2487149481334187,27760162
47,28002395,0.44374847,3.8263562,-0.8104265,0.76680374,-39.10097,10.159792,16121.65,7.7781435e-05,9790548324.58496,0.0,3872.4587,0.17907737,0.025701558,0.7483176,0.08320861,0.0806287,12247.9375,0.0002880357,0.09064269,0.03930127,0.0058459155,0.0009534246,0.35916248109254767,28067109
48,27649848,1.2303987,3.2353556,-0.7449945,-16.928085,-14.973215,30.0243,16239.363,0.00087573647,12820130348.205566,0.0,3917.4517,1.4751232,0.2863751,9.280051,0.57640815,1.0635357,12307.692,0.004079402,0.9001445,0.55393773,0.07784679,0.0039006432,0.4206071579421623,27952494
49,28004400,0.48497745,3.0549366,-0.9393861,-11.023788,38.761074,-9.313587,16104.294,3.6934398e-05,7631814002.990723,0.0,3865.732,0.057029247,0.010901362,0.32062063,0.088794015,0.053737085,12237.965,0.00012971385,0.0307134,0.028629579,0.004141746,0.00010563377,0.1925190750794175,27612631
50,27573407,2.1250713,2.8723042,-0.99930197,13.556998,-10.473454,11.043486,16246.318,0.00091887516,7412356376.647949,0.0,3920.1177,1.5345973,0.30705222,9.532475,0.6937543,1.1439155,12311.2705,0.025037402,1.0031539,0.598499,0.085265525,0.004587764,0.41816949900005324,27574417
51,28050258,2.3155007,2.9953434,0.30759013,-4.319548,-29.624237,28.814543,16281.836,0.00082394946,8690398216.247559,0.0,3933.2327,1.614364,0.25622195,6.7288165,2.1895847,1.1607983,12335.186,0.0008817945,0.7601783,0.6070597,0.0922616,0.005243104,0.17733686519461755,27976593
52,27727683,1.552785,3.408986,1.2858945,14.833561,-5.5694494,-1.7003921,16108.074,0.0,13364402770.996094,0.0,3865.9377,0.0,0.0,0.0,0.0,0.0,12242.136,0.0,0.0,0.0,0.0,0.0,0.30533774452586365,28127752
53,28093695,1.7180207,2.9341633,1.4136212,-16.304358,23.342192,17.806017,16135.846,0.0004374645,12922884941.101074,0.0,3876.1167,0.4990879,0.08748559,2.2869496,2.6816342,0.81590325,12252.671,0.0008353439,0.18324402,0.44065163,0.061856776,0.0012111759,0.19429428292726028,2175134090
54,27526293,0.72729254,2.9551992,2.5091183,-19.49303,14.655493,-13.347401,16537.613,0.003162846,11045564651.489258,0.0,4028.8062,4.882489,0.9700442,31.862068,4.7650256,4.1616683,12456.5,0.059935607,3.1169276,2.1750429,0.29576716,0.01695611,0.4918931118545429,27484505
